Nombre;Concentración;Forma Farmacéutica;Cantidad;Fecha Vencimiento;Lote;Registro Sanitario;INVIMA/Vigencia
LIDOCAINA 1% S/E;10 ML;FRASCO;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
LIDOCAINA 2% S/E;10 ML;FRASCO;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
MAGNESIO SULFATO;1 GR;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
MANITOL 20%;500 ML;FRASCO;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
METILPREDNISOLONA;500 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
MIDAZOLAM;15 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
MIDAZOLAM;5 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
MORFINA;10 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
NALOXONA;0.4 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
NITROGLICERINA;5 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
NITROPRUSIATO DE SODIO;50 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
NOREPINEFRINA;4 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
FENTANILO;0.5 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
PROPOFOL;200 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
RANITIDINA;50 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
ROCURONIO;50 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
SOLUCION DE HARTMANN;500 ML;FRASCO;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
SUCCINILCOLINA;40 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TERBUTALINA;0.5 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TIOPENTAL SÓDICO;500 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TRAMADOL;100 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TRAMADOL;50 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
VECURONIO;4 MG;VIAL;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
VERAPAMILO;5 MG;AMPOLLA;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AGUJA HIPODERMICA;18 G X 1/2;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AGUJA HIPODERMICA;21 G X 1;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
AGUJA HIPODERMICA;25 G X 5/8;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CATETER ENDOVENOSO;18 G;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CATETER ENDOVENOSO;20 G;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CATETER ENDOVENOSO;22 G;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
CATETER ENDOVENOSO;24 G;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
EQUIPO DE MACROGOTEO;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
EQUIPO DE MICROGOTEO;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
JERINGA 1 CC;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
JERINGA 3 CC;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
JERINGA 5 CC;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
JERINGA 10 CC;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
JERINGA 20 CC;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
JERINGA 50 CC;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
LLAVE DE TRES VIAS;;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
SONDA NASOGASTRICA;14 FR;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
SONDA NASOGASTRICA;16 FR;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TUBO ENDOTRAQUEAL;7.0;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TUBO ENDOTRAQUEAL;7.5;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
TUBO ENDOTRAQUEAL;8.0;UNIDAD;10;01/01/2030;LOT-001;INVIMA-2024-001;VIGENTE
